#Table1
redshift,h_beta_flux,ra,dec,plate,mjd,fiberID
0.2447907,993.4495,206.24771,-0.26653267,300,51943,272
0.2619666,287.547,199.89889,2.3731288,526,52312,431
0.2951642,117.3503,213.05674,2.200604,532,51993,635
0.1827677,118.7833,226.08712,1.8665079,539,52017,552
0.1346648,2292.539,226.54376,2.2805647,539,52017,586
0.1238792,1209.838,203.64739,57.837689,960,52425,214
0.2096186,268.3517,194.66895,56.05945,1318,52781,242
0.2959745,280.5206,220.96363,37.877341,1350,52786,247
0.2460663,840.9855,224.60194,36.522096,1351,52790,88
0.1642324,1217.472,226.81384,8.3091766,1816,53919,420
0.2416667,292.4267,217.50821,10.224781,1709,53533,230
0.2590016,351.6052,213.69166,37.033912,1643,53143,532
0.2095468,431.3989,223.44042,34.555632,1384,53121,291
0.2046669,2053.386,228.46459,26.399491,2157,54242,195
0.1877306,267.1736,212.67486,31.675394,2125,53795,432
0.1956688,280.6693,193.53826,25.923542,2661,54505,550
0.2745785,285.3338,195.57303,25.720622,2662,54505,445
0.2603083,177.4319,222.70887,12.843315,1714,53521,408
0.2311233,592.7064,215.41044,15.346088,2746,54232,494
0.2017202,287.0493,201.73091,12.782964,1699,53148,331
0.2141182,299.8891,208.60868,14.69765,1777,53857,612
0.2016272,55.15951,209.6676,47.545084,1285,52723,484
0.1514203,834.8927,211.26106,47.12987,1285,52723,39
0.220537,92.15675,227.88053,50.371933,1165,52703,202
0.176591,203.922,196.31711,39.217192,2018,53800,568
0.2825699,152.3747,196.09536,20.919527,2650,54505,207
0.2817113,1639.537,192.75191,66.05744,495,51988,207
0.153836,4630.266,197.44584,8.3300673,1795,54507,457
0.1175316,1342.066,206.90607,30.214521,2094,53851,630
0.2972019,150.8058,208.81185,29.924557,2116,53854,520
