#Table1
specobjid,plate,mjd,fiberID,subclass,z,oiii_5007_flux,oiii_5007_flux_err,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,nii_6584_flux,nii_6584_flux_err,w1,w2,w3
2581785855748237312,2293,53730,354,AGN,0.03143699,109.7094,5.836342,221.9537,7.125864,73.4275,4.849841,351.4519,8.214744,11.432,11.525,10.249
1464802700678948864,1301,52976,25,STARBURST,0.02823534,104.7954,5.374601,3745.274,22.36894,709.2227,7.870179,1788.393,12.40918,11.489,11.236,7.017
1875846326881642496,1666,52991,353,BROADLINE,0.0496169,89.37925,7.087763,175.3036,9.736,46.08417,6.739186,189.666,8.718737,11.902,11.953,11.421
2968032751619434496,2636,54082,584,STARBURST,0.005126412,1070.759,6.662357,3609.891,16.95721,1005.185,6.013339,767.5396,3.831604,12.823,12.767,9.455
443758801896630272,394,51913,561,BROADLINE,0.04201467,85.03702,3.353854,149.1404,4.543703,54.687,3.352904,150.8927,4.106205,11.659,11.735,10.733
2967885142183405568,2636,54082,47,BROADLINE,0.02131088,30.09905,2.429285,97.4052,3.075094,19.74608,2.077545,103.6315,3.193137,12.727,12.596,11.021
2793396770091067392,2481,54086,142,STARBURST,0.004190064,213.7396,7.087414,9145.261,57.16011,1910.431,15.62015,3631.537,23.92468,9.794,9.582,5.388
2791279387050272768,2479,54174,631,BROADLINE,0.02030548,223.2598,14.09576,414.6097,23.26716,82.99665,12.46355,609.8395,22.76773,10.506,10.482,8.949
323246831779735552,287,52023,413,,0.02040824,29.55753,3.606217,77.73664,4.746259,33.09515,3.816579,59.01689,4.26003,11.644,11.726,10.76
3100760300417214464,2754,54240,116,BROADLINE,0.00630176,119.3805,10.22817,251.8802,9.291022,81.98138,6.902039,336.1245,14.38172,10.544,10.569,8.338
