          specobjid         ra        dec
2504168307712616448 179.956720  30.844423
2508554259646146560 182.197040  29.304781
2795621353066096640 163.973510  15.340978
2795775559571892224 164.536480  17.095705
2796827797098620928 162.363520  21.780332
2797922086583035904 164.790860  17.401356
2797986408013260800 164.877680  18.852178
2798008123367909376 165.435190  18.721510
2800130175373699072 166.143640  16.061793
3089555177955420160 209.761680  15.565740
3089621148653086720 211.114170  16.303674
3091744304935233536 215.544640  13.918064
3092903465085593600 217.242630  13.861881
3092939474091403264 216.652380  15.401768
3095126952609081344 221.758660  13.668376
 748832875830339584  27.615131  -8.522930
 749902975203305472  30.202577  -9.002546
 749923591046326272  29.376884  -9.462372
 749937609819580416  29.935314  -7.839147
 749996158813759488  30.955437  -8.128939
 750024746116081664  31.079067  -8.735306
 751034647781074944  32.410506 -10.146272
 751085500193859584  32.244491  -7.766781
 751129480658970624  33.315812  -7.661863
 751141025531062272  33.349213  -7.732091
1560569341173327872 228.008620  32.915358
 335536072102537216 204.608660  -0.227621
 335574280131602432 203.272260  -1.035819
 577690589429000192 173.692720   2.921034
 577752436958062592 174.728880   3.580873
 580997096241391616 180.676020   1.976799
 837685511375054848 349.186140  13.483008
1105760468607199232 311.829440   0.320799
1105763217386268672 311.834880   0.484057
1341019676557207552 134.710290   6.292996
2032259567345231872 209.553580   6.518185
2032266989048719360 208.869760   6.596451
2032343954862663680 207.020830   7.392305
2034544907296729088 210.287200   8.583695
2034639465296717824 210.442010   9.490281
2034639740174624768 210.486100   9.533499
2034657332360669184 210.433850   9.868391
2034659256506017792 210.514690   9.929323
2034662005285087232 210.947260   9.523689
2035709839883134976 209.373460   6.097006
2035784606673823744 210.573300   7.684167
2036830235789387776 210.496900   8.937696
2036844529440548864 210.547150   9.440112
3106484637761824768 214.886150  17.875305
3110987412302489600 222.301640  17.020935
 506668184229668864 137.629080  54.394706
 506703093723850752 136.933290  55.151683
 506734704683149312 135.253870  54.667387
 506763841741285376 135.603310  55.390146
 506771263444772864 135.934090  55.596720
 506788305875003392 136.737610  55.652307
 506790230020352000 136.602320  55.238484
 506794902944770048 137.019310  55.692747
 506797651723839488 137.190660  55.505849
 506815793665697792 138.066510  55.692702
 511161613374482432  37.922274  -9.300445
 511315545002371072  37.517543  -7.669135
 512297408902752256  39.456356  -9.432250
 783690693653587968  20.319157  -0.544496
1071919149015394304 171.684610  59.155447
1071924646573533184 172.128290  58.561843
1192412982542362624 115.631530  27.638558
1192492422257469440 117.860480  28.234174
1787953565944276992 131.778800  28.236559
1788077810758215680 132.043560  29.491372
1790344454129870848 135.686100  31.273902
1791423624826087424 137.160240  32.592954
2199023037012011008 152.086080  31.862690
2434361695431321600 234.115720  22.500489
2897033437170919424 130.015240  11.010470
 443694480466405376  11.999225   1.202544
 443740110198958080  13.140555   0.331229
 443756602873374720  14.007729   0.253672
 443758801896630272  13.469751   0.979608
 443763199943141376  13.354576   0.737507
 443765948722210816  14.024966   0.628608
 443771446280349696  13.940423   0.708425
 737527697172883456  10.043962 -10.440586
 737558208620554240   9.294023  -9.457015
 737593118114736128   9.899122  -9.194524
 738622535641360384  11.943452  -9.835075
 738701425600653312  11.246839  -8.889684
1024703370402752512 202.525610  -1.720622
1024729758681819136 202.952120  -1.893514
1184523709185026048 232.437590  42.918656
1184534154545489920 232.069600  42.944108
1184600674998970368 234.305300  43.298317
1501968664042170368 239.151670  41.880707
1503219359525398528 241.441230  41.344746
2222644946031110144 172.841790  32.706349
2222682054548547584 174.373710  32.252465
2223739789834741760 189.703330  31.984887
2223789267857991680 190.986240  32.170742
2443294946959058944 237.437100  18.526923
2444442556885395456 238.511990  23.131231
2445499748606568448 238.783090  19.192391
2445531084687960064 237.594680  18.939276
2445613273182136320 238.987060  19.949022
2446633339122116608 239.802240  20.763358
2446636087901186048 239.581390  19.967587
2446690788604667904 240.369550  22.427615
2446726797610477568 240.765150  21.697465
2738278526498138112 134.348330  17.288018
2738292270393485312 134.439620  17.046369
2740479744985294848 136.154470  13.554108
2740480569619015680 136.209010  13.561896
 320977163341817856 178.551140   0.136591
 323137705250678784 184.152120  -0.955933
 323230613983225856 182.098020   0.110260
 323246831779735552 182.766920   0.972277
 323291087122753536 183.621770   0.830090
 811785415085287424 338.391690 -10.182684
 815291208346658816 344.321200  -8.964142
1086577288767629312 168.545390  48.318524
1088747453164840960 177.269330  48.749641
1356735545941714944 120.866940  25.102666
1647319158448220160 202.105310  46.591649
2179747773073614848 138.472460  28.530681
2179755744532916224 137.878720  28.826591
2179888235684063232 138.211910  30.212283
2179902529335224320 138.643060  30.140850
2179906377625921536 138.748600  29.730245
2730317239138936832 128.405260  13.055800
 548380632317716480 147.734340  62.185715
 549540891476387840 153.194130  65.272602
 549594217790334976 155.495530  64.979990
 549597516325218304 155.180610  65.172115
 550578830721443840 159.506790  64.266374
 837747358904117248 347.752710  13.631571
 840026921168300032 351.201010  15.000064
 841119285903386624 353.362580  14.335238
 841205047810353152 354.671680  15.954646
1380442392099842048 176.439840  10.824570
1383861873077676032 182.040080  10.378879
2241804211291449344 178.100290  32.403879
2241827301035632640 179.382220  32.341713
2241829225180981248 179.225990  32.158806
2242883107411748864 186.151680  39.381999
2243951562802096128 203.805590  34.677436
2245063170450286592 194.241120  30.716046
2520983412420929536 191.546850  30.722743
2521035364345341952 192.833040  31.059633
2522083750309816320 193.183630  26.470404
2522103816397023232 192.426220  26.892026
2522125531751671808 193.407810  27.784300
2522154943687714816 194.590960  27.967782
2522158791978412032 194.646610  27.596389
2522167038315620352 194.783100  27.854968
2523231921132038144 194.391190  28.482260
2523303939143657472 195.178150  27.971266
2523304488899471360 195.358840  27.885998
2523306138166913024 195.500570  27.782728
2813697604540459008 171.624150  16.863430
2814775950602954752 172.249450  20.739146
2814783372306442240 172.143180  21.010720
2816010150828075008 172.751020  25.221224
2817155293799016448 174.118300  19.811439
 343551231253309440 216.554090   0.860587
 588976527153063936 193.814700   2.896644
 590012267123206144 196.492240   1.792539
