        ra        dec
170.966330  67.267464
171.053640  67.138751
171.432260  67.220187
171.799830  67.239066
172.342060  67.321344
172.800380  67.303515
172.824360  67.329472
172.843550  67.325700
172.903660  67.417980
172.982020  67.382953
173.037450  67.403235
173.221180  67.487980
173.727050  67.340722
174.435040  67.560406
174.686230  67.505619
174.998850  67.549812
175.621060  67.482788
175.752300  67.501455
177.222030  67.727517
177.479640  67.605248
177.779970  67.650992
177.998280  67.601360
178.508660  67.738962
178.845050  67.599182
180.518300  67.848945
184.809750  67.726514
185.251260  67.876257
187.359110  67.862626
188.653600  67.684595
188.596020  67.715946
188.818970  67.833806
188.838690  67.799092
188.877220  67.676350
189.114090  67.846899
189.391710  67.820977
189.262720  67.845698
189.989670  67.818420
190.074220  67.676859
190.186400  67.697365
190.695440  67.742234
190.768890  67.642377
191.066850  67.694453
191.822310  67.663167
192.250280  67.656820
157.530870  65.798908
157.744190  65.838752
157.918600  65.896301
158.875210  65.972069
158.957220  66.005680
160.747220  66.372587
160.854950  66.407865
161.270700  66.409947
161.323470  66.410073
162.575210  66.722669
163.639420  66.794849
163.825980  66.844875
164.477860  66.997247
164.761730  67.024587
164.792390  67.037808
164.957280  66.938428
165.033680  66.970618
165.385780  66.959780
165.321720  67.106402
165.766960  66.991744
166.271490  67.220429
166.998550  67.312855
167.116750  67.287480
168.232060  67.457587
168.516500  67.369511
169.848780  67.439554
169.945460  67.484934
170.285010  67.504800
170.640350  67.666801
171.547010  67.718464
172.915890  67.695461
173.277010  67.905159
173.583640  67.833294
175.135570  68.004880
175.505650  68.028507
175.216270  67.931524
175.644710  68.021608
175.872940  68.018498
176.690080  68.023351
177.070290  68.060213
177.091490  68.085360
177.784820  68.069462
177.695050  68.082675
178.056020  68.052153
178.124150  68.076014
180.210620  68.257314
183.622980  68.196515
184.092720  68.235156
186.152860  68.222385
187.119240  68.269924
188.495090  68.226004
188.835170  68.151276
189.760750  68.198186
190.556100  68.082610
190.563980  68.181651
190.587740  68.164956
191.919480  68.161030
192.586950  67.984736
161.107680  66.824667
163.060460  67.082520
163.690990  67.238803
163.729330  67.155329
164.272580  67.320977
164.988480  67.438632
165.087230  67.485464
165.680260  67.532891
167.559150  67.688876
167.988370  67.737842
167.707740  67.754823
167.909950  67.828925
169.154750  67.962823
169.752890  68.033021
170.417610  68.058636
170.818370  68.031594
171.059510  68.158675
173.777890  68.334077
174.005720  68.226341
175.345230  68.339483
176.537120  68.520913
177.222420  68.409302
177.943870  68.588661
178.031870  68.542505
180.350690  68.500098
180.371810  68.604631
180.566150  68.581252
180.868600  68.660644
181.543180  68.639339
181.607090  68.610184
181.670460  68.585661
186.129820  68.727099
187.030850  68.656255
188.263350  68.608860
188.323540  68.605300
189.289440  68.650581
189.328780  68.591756
189.481610  68.592951
190.033640  68.587391
190.054840  68.631406
190.051730  68.606263
190.224140  68.547271
190.586590  68.598817
192.858860  68.457438
152.760500   0.957010
152.989480   0.977830
153.008700   0.881132
153.900880   0.916513
153.875250   1.021900
154.046120   1.044242
154.689500   1.004567
154.796210   0.934196
155.038300   1.047092
155.163620   0.986219
155.555760   1.023018
155.528220   0.926518
155.826070   0.977933
156.384460   0.939142
156.496560   0.984313
156.664710   1.039416
157.006000   0.966863
157.596960   0.968987
157.666740   1.020589
158.006600   1.044708
159.551130   1.040947
159.736320   1.025106
160.132230   1.032639
160.102630   1.031845
160.938370   1.027027
161.330280   1.044340
153.711790  -1.122662
154.095200  -1.073389
154.687910  -1.068427
154.746770  -1.135740
155.514610  -1.089007
155.882250  -1.121001
155.893850  -1.106987
156.031860  -1.148839
153.806000  -0.661520
153.829790  -0.649909
154.266010  -0.631919
154.267270  -0.680084
154.437700  -0.732296
154.572950  -0.725366
155.086160  -0.697380
156.856550  -0.708980
157.329930  -0.695710
154.402430  -0.231003
154.433250  -0.306253
155.028500  -0.249023
155.864110  -0.223815
156.154730  -0.213795
156.196190  -0.273552
156.799050  -0.303736
157.664300  -0.310435
152.259220   0.111685
153.315190   0.179288
153.859480   0.120180
154.033420   0.146572
154.403500   0.140595
154.527780   0.099949
154.605760   0.198358
154.791340   0.133961
155.227740   0.150223
155.268300   0.161515
155.411700   0.133994
155.556420   0.206632
155.568100   0.154420
155.818780   0.103361
155.972910   0.153419
156.022270   0.152463
156.721260   0.142066
157.444000   0.145575
157.769820   0.108481
157.912120   0.123957
153.726000   0.572442
153.667440   0.559816
153.906640   0.525332
153.970430   0.531753
154.709980   0.558813
154.904170   0.586292
155.073910   0.528560
155.140790   0.549352
155.754500   0.540045
156.416180   0.527729
156.726090   0.620270
156.730840   0.557205
157.751530   0.575297
153.472060  -1.194470
153.959970  -1.186373
154.052460  -1.227159
154.338630  -1.246887
154.580620  -1.170698
154.789190  -1.241047
154.714030  -1.236884
154.755020  -1.243539
154.897770  -1.212026
155.614830  -1.194360
156.885790  -1.077073
157.096420  -1.224459
157.660810  -1.256375
158.394950  -1.067860
158.912480  -1.100401
158.970140  -1.172934
158.931450  -1.220739
159.128490  -1.188676
159.126960  -1.054994
159.184820  -1.180799
159.564510  -1.133649
159.659950  -1.255304
159.667460  -1.213189
159.850980  -1.214941
159.840200  -1.139927
159.858050  -1.245118
160.330440  -1.063929
160.279710  -1.179385
160.286730  -1.081514
160.733980  -1.069535
160.678240  -1.219783
160.743570  -1.144959
160.810510  -1.087383
160.887880  -1.056790
161.107640  -1.069681
161.445320  -1.200240
161.485400  -1.206186
161.902830  -1.185081
162.039170  -1.160859
162.121750  -1.181671
153.664840  -0.830910
153.821770  -0.822176
154.157180  -0.793899
154.191990  -0.765864
154.218800  -0.774979
154.577990  -0.797953
155.033760  -0.797496
155.105430  -0.794824
156.490640  -0.768113
157.098970  -0.823447
157.163710  -0.775982
157.208370  -0.808988
157.877630  -0.830722
158.022110  -0.709996
158.225020  -0.700569
158.322580  -0.631938
158.331110  -0.695043
158.386730  -0.685940
158.757070  -0.831209
158.831210  -0.808665
159.273980  -0.708716
159.353560  -0.704397
159.443060  -0.774959
159.815410  -0.654716
159.838900  -0.788544
160.021000  -0.713039
159.889300  -0.644438
159.913130  -0.712185
160.078870  -0.688713
160.479690  -0.675458
160.657000  -0.685943
160.734770  -0.727163
160.864250  -0.798884
161.075840  -0.645804
161.695990  -0.830669
161.844740  -0.683998
161.961280  -0.790182
161.963590  -0.631623
162.176150  -0.813992
154.739280  -0.398852
154.827880  -0.406878
155.235930  -0.374446
155.405720  -0.395990
155.668080  -0.336325
155.736040  -0.384222
157.972450  -0.336664
158.072150  -0.329328
158.099240  -0.298917
158.446500  -0.294134
158.550770  -0.381134
158.579540  -0.342420
158.893640  -0.354508
158.870920  -0.399775
158.918100  -0.414558
158.956130  -0.239011
158.972600  -0.328107
159.422210  -0.292703
159.540910  -0.220744
159.604920  -0.391941
160.141420  -0.299473
160.187160  -0.326880
160.256860  -0.375631
160.430210  -0.335462
160.397170  -0.413591
160.541790  -0.304086
160.560780  -0.330958
160.727850  -0.265648
160.652910  -0.253974
160.790450  -0.297341
160.866620  -0.244100
160.908240  -0.336459
161.169370  -0.328970
